"행정구역","2021년11월_계_총인구수","2021년11월_계_연령구간인구수","2021년11월_계_0~9세","2021년11월_계_10~19세","2021년11월_계_20~29세","2021년11월_계_30~39세","2021년11월_계_40~49세","2021년11월_계_50~59세","2021년11월_계_60~69세","2021년11월_계_70~79세","2021년11월_계_80~89세","2021년11월_계_90~99세","2021년11월_계_100세 이상"
"서울특별시  (1100000000)","9,520,880","9,520,880","586,559","758,445","1,426,394","1,440,774","1,483,164","1,507,704","1,285,127","695,892","293,290","41,521","2,010"
"서울특별시 종로구 (1111000000)","145,073","145,073","7,039","10,465","22,896","19,473","21,065","24,982","20,362","11,659","6,146","944","42"
"서울특별시 종로구 청운효자동(1111051500)","12,006","12,006","749","1,151","1,575","1,583","2,090","1,923","1,401","933","525","74","2"
"서울특별시 종로구 사직동(1111053000)","9,367","9,367","555","672","1,199","1,456","1,476","1,536","1,205","706","476","85","1"
"서울특별시 종로구 삼청동(1111054000)","2,467","2,467","101","173","327","304","345","386","409","247","144","25","6"
"서울특별시 종로구 부암동(1111055000)","9,629","9,629","500","863","1,236","1,218","1,563","1,689","1,350","741","391","74","4"
"서울특별시 종로구 평창동(1111056000)","18,152","18,152","1,154","1,585","2,356","2,182","2,683","3,259","2,666","1,303","799","158","7"
"서울특별시 종로구 무악동(1111057000)","8,292","8,292","652","990","904","903","1,413","1,429","1,045","585","327","40","4"
"서울특별시 종로구 교남동(1111058000)","10,069","10,069","830","789","1,209","1,577","1,796","1,585","1,176","724","338","41","4"
"서울특별시 종로구 가회동(1111060000)","4,127","4,127","184","320","478","541","701","716","572","388","193","32","2"
"서울특별시 종로구 종로1.2.3.4가동(1111061500)","7,174","7,174","179","228","925","931","914","1,308","1,412","804","403","67","3"
"서울특별시 종로구 종로5.6가동(1111063000)","5,127","5,127","94","222","1,114","743","559","886","766","493","221","28","1"
"서울특별시 종로구 이화동(1111064000)","7,285","7,285","222","365","1,612","1,232","898","1,097","943","564","308","40","4"
