v11,v21,v31,v12,v22,v32,v13,v23,v33,cla
1,0,0,1,0,0,1,0,0,0
0,1,0,0,1,0,0,1,0,1
0,0,1,0,0,1,0,0,1,2
1,0,0,1,0,0,1,0,0,0
0,1,0,0,1,0,0,1,0,1
0,0,1,0,0,1,0,0,1,2
1,0,0,1,0,0,1,0,0,0
0,1,0,0,1,0,0,1,0,1
0,0,1,0,0,1,0,0,1,2
1,0,0,1,0,0,1,0,0,0
0,1,0,0,1,0,0,1,0,1
0,0,1,0,0,1,0,0,1,2
1,0,0,1,0,0,1,0,0,0
0,1,0,0,1,0,0,1,0,1
0,0,1,0,0,1,0,0,1,2
1,0,0,1,0,0,1,0,0,0
0,1,0,0,1,0,0,1,0,1
0,0,1,0,0,1,0,0,1,2
1,0,0,1,0,0,1,0,0,0
0,1,0,0,1,0,0,1,0,1
0,0,1,0,0,1,0,0,1,2
1,0,0,1,0,0,1,0,0,0
0,1,0,0,1,0,0,1,0,1
0,0,1,0,0,1,0,0,1,2
1,0,0,1,0,0,1,0,0,0
0,1,0,0,1,0,0,1,0,1
0,0,1,0,0,1,0,0,1,2
1,0,0,1,0,0,1,0,0,0
0,1,0,0,1,0,0,1,0,1
0,0,1,0,0,1,0,0,1,2
1,0,0,1,0,0,1,0,0,0
0,1,0,0,1,0,0,1,0,1
0,0,1,0,0,1,0,0,1,2
1,0,0,1,0,0,1,0,0,0
0,1,0,0,1,0,0,1,0,1
0,0,1,0,0,1,0,0,1,2
1,0,0,1,0,0,1,0,0,0
0,1,0,0,1,0,0,1,0,1
0,0,1,0,0,1,0,0,1,2
1,0,0,1,0,0,1,0,0,0
0,1,0,0,1,0,0,1,0,1
0,0,1,0,0,1,0,0,1,2
1,0,0,1,0,0,1,0,0,0
0,1,0,0,1,0,0,1,0,1
0,0,1,0,0,1,0,0,1,2
1,0,0,1,0,0,1,0,0,0
0,1,0,0,1,0,0,1,0,1
0,0,1,0,0,1,0,0,1,2
